 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
23-Mar-16,7.2,878,2120,1780,2837,1822,108,14.9,     <0.15,26.2,4.1,188,,,,,,,,,,
24-Mar-16,7.2,523,1220,980,1936,1142,60,10.0,     <0.15,14.6,3.3,253,,,,,,,,,,
25-Mar-16,7.3,      T/X,2390,1820,2737,1686,96,7.9,     <0.15,23.4,3.1,394,,,,,,,,,,
26-Mar-16,7.3,      T/X,1920,1540,2252,1322,81,6.5,     <0.15,18.8,2.5,344,,,,,,,,,,
27-Mar-16,7.2,1129,2660,2100,3250,2154,108,7.2,     <0.15,27.2,2.8,329,,,,,,,,,,
28-Mar-16,7.3,679,1590,1270,2177,1276,77,9.2,     <0.15,18.7,3.9,339,,,,,,,,,,
29-Mar-16,7.3,412,910,750,1646,820,60,10.4,0.15,15.9,5.5,347,,,,,,,,,,
30-Mar-16,7.2,362,840,640,1618,792,55,9.0,0.20,14.1,3.6,297,,,,,,,,,,
31-Mar-16,7.2,468,860,860,1620,846,53,8.3,0.29,13.1,2.9,378,,,,,,,,,,
1-Apr-16,7.3,380,856,664,1514,754,44,8.4,     <0.15,10.6,2.3,284,,,,,,,,,,
2-Apr-16,7.5,425,872,696,1454,698,46,8.6,0.15,11.7,2.7,267,,,,,,,,,,
3-Apr-16,7.3,718,1540,1220,2184,1302,99,10.4,     <0.15,24.7,5.1,193,,,,,,,,,,
4-Apr-16,7.3,821,1720,1320,2303,1341,84,11.3,     <0.15,21.0,4.6,187,,,,,,,,,,
5-Apr-16,7.2,474,1480,1220,2216,1303,65,11.7,     <0.15,16.5,3.8,181,,,,,,,,,,
6-Apr-16,7.1,440,1090,900,1743,966,51,10.2,     <0.15,13.7,3.4,189,,,,,,,,,,
7-Apr-16,7.2,370,500,420,1275,558,35,8.0,0.22,8.8,1.3,254,,,,,,,,,,
8-Apr-16,7.5,334,676,552,1398,654,39,8.4,     <0.15,9.7,2.5,220,,,,,,,,,,
9-Apr-16,7.5,390,840,685,1584,836,46,9.2,     <0.15,11.3,2.1,299,,,,,,,,,,
10-Apr-16,7.4,304,600,440,1300,608,32,8.9,     <0.15,7.5,1.4,282,,,,,,,,,,
11-Apr-16,7.2,252,350,270,1081,388,23,9.8,0.15,5.5,2.0,322,,,,,,,,,,
