 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
14-May-15,7.3,203,350,302,1066,358,17,13.0,     <0.15,3.6,2.3,282,,,,,,,,,,
15-May-15,7.7,99,130,90,902,190,17,10.5,     <0.15,4.4,2.5,255,,,,,,,,,,
16-May-15,7.4,224,224,198,1088,348,18,10.4,     <0.15,4.7,1.5,242,,,,,,,,,,
17-May-15,7.5,101,106,96,886,200,17,9.9,     <0.15,3.3,1.6,203,,,,,,,,,,
18-May-15,7.6,87,114,80,918,210,19,12.3,0.16,3.7,2.0,194,,,,,,,,,,
19-May-15,7.5,130,320,176,1166,308,20,8.5,2.77,7.8,4.9,202,,,,,,,,,,
20-May-15,7.3,119,102,80,920,206,21,13.5,     <0.15,6.8,4.9,194,,,,,,,,,,
21-May-15,7.5,107,88,64,894,194,22,14.5,     <0.15,4.3,2.7,188,,,,,,,,,,
22-May-15,7.6,113,104,86,904,214,24,16.8,     <0.15,4.4,2.5,188,,,,,,,,,,
23-May-15,7.6,113,92,72,912,228,23,14.9,     <0.15,5.1,3.4,192,,,,,,,,,,
24-May-15,7.6,78,98,72,856,200,21,14.0,     <0.15,3.8,1.9,182,,,,,,,,,,
25-May-15,7.5,105,160,114,914,254,23,13.8,     <0.15,4.1,2.0,189,,,,,,,,,,
26-May-15,7.4,127,186,126,854,250,20,10.2,     <0.15,3.8,1.7,191,,,,,,,,,,
27-May-15,7.4,103,128,82,884,226,21,11.8,     <0.15,5.2,3.4,206,,,,,,,,,,
28-May-15,7.5,105,142,108,872,226,23,13.5,0.18,5.4,3.5,185,,,,,,,,,,
29-May-15,7.4,167,230,154,974,280,25,13.1,     <0.15,7.0,4.1,181,,,,,,,,,,
30-May-15,7.4,139,236,140,846,200,20,10.7,     <0.15,5.6,3.3,237,,,,,,,,,,
31-May-15,7.6,63,104,86,680,148,13,7.8,     <0.15,2.3,0.6,346,,,,,,,,,,
1-Jun-15,7.5,55,76,48,744,154,13,8.4,0.17,2.3,1.0,256,,,,,,,,,,
2-Jun-15,7.5,81,102,86,818,224,17,9.9,     <0.15,3.7,2.1,209,,,,,,,,,,
3-Jun-15,7.4,103,108,86,882,244,19,11.3,     <0.15,5.6,3.9,201,,,,,,,,,,
4-Jun-15,7.4,99,108,94,904,204,22,14.1,     <0.15,5.4,3.8,194,,,,,,,,,,
5-Jun-15,7.5,101,136,98,996,280,25,16.1,     <0.15,5.2,3.5,170,,,,,,,,,,
6-Jun-15,7.6,108,108,88,938,290,23,14.9,     <0.15,4.8,3.0,172,,,,,,,,,,
7-Jun-15,7.4,143,112,102,844,268,21,12.5,     <0.15,4.1,2.4,167,,,,,,,,,,
8-Jun-15,7.4,114,210,142,780,228,18,8.4,0.25,3.8,1.5,300,,,,,,,,,,
9-Jun-15,7.5,91,136,114,846,242,18,10.1,     <0.15,4.6,2.6,357,,,,,,,,,,
10-Jun-15,7.4,95,108,86,846,188,19,10.6,     <0.15,4.4,2.7,239,,,,,,,,,,
11-Jun-15,7.4,102,134,106,926,288,20,11.4,     <0.15,6.4,4.5,286,,,,,,,,,,
12-Jun-15,7.4,89,114,92,796,224,16,8.8,     <0.15,5.9,4.0,284,,,,,,,,,,
13-Jun-15,7.4,84,107,88,766,226,13,7.8,     <0.15,2.8,1.4,264,,,,,,,,,,
14-Jun-15,7.6,42,70,42,622,180,9,4.8,0.64,1.6,0.4,468,,,,,,,,,,
15-Jun-15,7.5,36,88,58,634,150,8,3.4,1.26,2.0,0.7,443,,,,,,,,,,
16-Jun-15,7.1,168,192,146,816,254,10,2.6,1.29,7.4,5.1,493,,,,,,,,,,
17-Jun-15,7.3,190,232,188,1091,426,10,2.7,0.64,10.5,8.3,438,,,,,,,,,,
18-Jun-15,7.6,58,106,68,852,180,11,4.7,0.26,3.6,1.9,475,,,,,,,,,,
19-Jun-15,7.3,267,794,662,1861,1123,11,5.6,     <0.15,3.8,2.2,423,,,,,,,,,,
20-Jun-15,7.6,50,84,60,812,200,12,7.1,0.15,2.4,1.1,396,,,,,,,,,,
21-Jun-15,7.5,118,212,140,886,264,21,8.4,0.23,4.8,1.5,412,,,,,,,,,,
22-Jun-15,7.6,54,52,48,752,118,15,8.9,     <0.15,2.1,0.9,294,,,,,,,,,,
23-Jun-15,7.5,70,80,66,824,176,16,8.6,     <0.15,3.1,1.6,283,,,,,,,,,,
24-Jun-15,7.5,70,80,62,840,200,18,9.4,     <0.15,4.2,2.4,231,,,,,,,,,,
25-Jun-15,7.4,63,112,68,828,268,11,3.9,2.90,6.4,4.1,451,,,,,,,,,,
26-Jun-15,7.4,147,176,142,836,186,19,9.7,     <0.15,8.6,5.6,259,,,,,,,,,,
27-Jun-15,7.4,117,136,96,824,202,16,8.1,     <0.15,5.9,3.4,398,,,,,,,,,,
28-Jun-15,7.5,27,36,26,670,118,8,4.4,1.69,2.1,1.2,305,,,,,,,,,,
29-Jun-15,7.4,72,120,82,732,206,13,6.7,     <0.15,3.4,1.6,306,,,,,,,,,,
30-Jun-15,7.4,69,94,68,790,180,12,6.0,     <0.15,4.1,2.5,323,,,,,,,,,,
1-Jul-15,7.5,65,62,36,452,96,15,8.4,     <0.15,3.6,1.9,292,,,,,,,,,,
2-Jul-15,7.5,123,130,102,876,252,19,9.5,     <0.15,5.3,3.0,255,,,,,,,,,,
3-Jul-15,7.5,123,96,76,922,216,21,10.7,     <0.15,5.6,3.2,228,,,,,,,,,,
4-Jul-15,7.5,101,116,84,904,248,18,11.0,     <0.15,3.3,1.5,177,,,,,,,,,,
5-Jul-15,7.6,68,96,80,894,234,20,12.0,     <0.15,2.9,1.1,222,,,,,,,,,,
6-Jul-15,7.5,215,368,264,1146,414,35,13.7,0.18,8.3,3.1,208,,,,,,,,,,
7-Jul-15,7.3,158,232,188,826,268,24,8.9,0.15,10.0,6.4,371,,,,,,,,,,
8-Jul-15,7.4,108,88,76,782,212,15,7.2,     <0.15,9.0,6.9,280,,,,,,,,,,
9-Jul-15,7.4,98,96,80,832,196,17,9.6,     <0.15,6.1,4.2,224,,,,,,,,,,
10-Jul-15,7.4,110,106,82,812,190,20,10.9,     <0.15,5.5,3.2,206,,,,,,,,,,
11-Jul-15,7.5,109,134,98,836,210,22,12.1,     <0.15,5.1,3.2,200,,,,,,,,,,
12-Jul-15,7.5,124,120,100,818,232,21,11.8,     <0.15,3.8,2.1,201,,,,,,,,,,
13-Jul-15,7.4,91,88,70,780,206,19,10.9,     <0.15,4.6,3.0,185,,,,,,,,,,
14-Jul-15,7.5,80,116,78,686,156,14,6.7,     <0.15,4.8,2.9,347,,,,,,,,,,
15-Jul-15,7.5,53,78,64,770,174,15,8.7,     <0.15,3.4,1.7,294,,,,,,,,,,
16-Jul-15,7.4,      T/X,86,68,1412,290,17,9.2,     <0.15,5.8,3.8,243,,,,,,,,,,
17-Jul-15,7.6,55,72,40,680,174,13,7.2,     <0.15,3.1,1.5,422,,,,,,,,,,
18-Jul-15,7.7,38,62,34,702,164,13,7.8,     <0.15,2.7,1.2,336,,,,,,,,,,
19-Jul-15,7.6,49,144,110,730,166,14,8.8,0.21,2.5,1.0,283,,,,,,,,,,
20-Jul-15,7.5,62,44,34,712,128,15,9.4,     <0.15,2.8,1.4,268,,,,,,,,,,
21-Jul-15,7.4,78,86,60,830,184,18,10.3,     <0.15,4.3,2.4,261,,,,,,,,,,
22-Jul-15,7.4,      T/X,89,71,896,218,21,13.2,     <0.15,4.5,2.9,208,,,,,,,,,,
23-Jul-15,7.5,72,84,67,836,182,21,12.4,     <0.15,4.1,2.5,201,,,,,,,,,,
24-Jul-15,7.5,102,200,200,844,216,23,13.8,     <0.15,4.3,2.6,170,,,,,,,,,,
25-Jul-15,7.5,113,168,120,918,266,27,15.7,     <0.15,4.9,2.7,168,,,,,,,,,,
26-Jul-15,7.5,66,63,48,764,190,23,14.4,     <0.15,3.8,2.2,157,,,,,,,,,,
27-Jul-15,7.5,98,118,90,806,210,23,14.1,     <0.15,4.1,2.1,160,,,,,,,,,,
28-Jul-15,7.3,101,106,76,906,216,26,15.6,     <0.15,10.5,7.6,165,,,,,,,,,,
29-Jul-15,7.2,147,220,140,884,286,24,12.5,     <0.15,5.4,2.3,366,,,,,,,,,,
30-Jul-15,7.4,      T/X,160,100,794,214,20,12.8,     <0.15,5.1,3.0,195,,,,,,,,,,
31-Jul-15,7.5,130,154,98,918,268,22,13.9,     <0.15,7.8,5.5,175,,,,,,,,,,
1-Aug-15,7.4,115,82,56,858,240,21,14.8,     <0.15,4.7,3.2,150,,,,,,,,,,
2-Aug-15,7.4,81,102,74,794,234,23,13.8,     <0.15,3.8,1.8,160,,,,,,,,,,
3-Aug-15,7.4,62,110,70,670,192,19,11.6,     <0.15,4.0,2.1,324,,,,,,,,,,
4-Aug-15,7.3,85,120,84,724,160,19,10.8,     <0.15,5.6,3.6,201,,,,,,,,,,
5-Aug-15,7.3,79,160,92,810,216,22,12.8,     <0.15,7.2,4.9,192,,,,,,,,,,
6-Aug-15,7.2,173,172,126,938,282,27,13.8,     <0.15,13.4,10.6,163,,,,,,,,,,
7-Aug-15,7.3,134,94,74,888,224,29,15.7,0.17,10.4,6.9,132,,,,,,,,,,
8-Aug-15,7.5,106,140,96,816,218,26,18.6,     <0.15,5.6,3.3,159,,,,,,,,,,
9-Aug-15,7.4,81,126,82,732,198,27,18.7,     <0.15,4.1,2.3,159,,,,,,,,,,
10-Aug-15,7.4,187,220,160,822,232,29,16.0,     <0.15,5.6,2.7,158,,,,,,,,,,
11-Aug-15,7.2,195,396,280,1028,354,38,17.2,     <0.15,12.9,7.9,120,,,,,,,,,,
12-Aug-15,7.3,177,280,192,934,298,33,17.0,     <0.15,10.3,6.0,123,,,,,,,,,,
13-Aug-15,7.3,187,210,154,964,276,28,15.6,     <0.15,12.7,9.6,149,,,,,,,,,,
14-Aug-15,7.3,192,200,128,890,270,27,16.1,     <0.15,9.7,6.7,162,,,,,,,,,,
15-Aug-15,7.3,195,220,156,814,272,27,15.0,     <0.15,6.3,3.7,187,,,,,,,,,,
16-Aug-15,7.4,      T/X,168,112,728,210,21,11.3,     <0.15,4.6,2.4,212,,,,,,,,,,
17-Aug-15,7.5,115,146,110,736,196,25,17.3,     <0.15,4.0,2.1,203,,,,,,,,,,
18-Aug-15,7.4,163,272,196,700,232,24,13.0,     <0.15,6.1,2.5,405,,,,,,,,,,
19-Aug-15,7.4,64,118,80,576,154,12,6.9,0.15,3.5,1.7,325,,,,,,,,,,
20-Aug-15,7.4,50,105,67,666,194,13,7.5,     <0.15,3.4,1.6,282,,,,,,,,,,
21-Aug-15,7.5,74,68,48,618,108,14,8.8,     <0.15,3.4,2.0,231,,,,,,,,,,
22-Aug-15,7.5,62,63,50,618,122,15,9.7,     <0.15,2.8,1.4,265,,,,,,,,,,
23-Aug-15,7.5,98,136,92,704,172,20,11.8,     <0.15,3.5,1.6,166,,,,,,,,,,
24-Aug-15,7.4,130,176,130,714,178,23,13.7,     <0.15,4.8,2.4,160,,,,,,,,,,
25-Aug-15,7.3,87,84,67,722,140,22,14.5,     <0.15,6.0,4.4,178,,,,,,,,,,
26-Aug-15,7.3,121,126,94,796,206,22,14.5,     <0.15,6.6,4.9,186,,,,,,,,,,
27-Aug-15,7.3,119,102,88,770,174,23,14.6,     <0.15,4.9,3.1,126,,,,,,,,,,
28-Aug-15,7.3,135,122,102,796,216,24,15.3,     <0.15,5.9,3.8,149,,,,,,,,,,
29-Aug-15,7.4,117,116,90,786,200,22,14.8,     <0.15,5.0,3.3,151,,,,,,,,,,
30-Aug-15,7.4,59,68,50,676,154,15,9.1,2.72,3.8,2.3,165,,,,,,,,,,
31-Aug-15,7.4,      T/X,80,66,728,186,16,10.4,2.83,4.7,3.0,153,,,,,,,,,,
1-Sep-15,7.3,122,110,90,784,176,24,15.5,     <0.15,8.8,6.7,143,,,,,,,,,,
2-Sep-15,7.3,109,102,80,770,182,25,16.5,     <0.15,8.1,5.9,154,,,,,,,,,,
3-Sep-15,7.4,112,144,90,796,226,26,16.6,     <0.15,6.1,4.2,145,,,,,,,,,,
4-Sep-15,7.5,102,90,64,744,184,27,18.5,     <0.15,5.9,4.1,149,,,,,,,,,,
5-Sep-15,7.4,128,140,96,784,210,25,15.1,     <0.15,5.2,3.3,145,,,,,,,,,,
6-Sep-15,7.4,84,126,88,692,182,25,15.7,     <0.15,3.9,2.2,143,,,,,,,,,,
7-Sep-15,7.4,89,110,84,662,174,23,16.2,     <0.15,3.8,2.1,140,,,,,,,,,,
8-Sep-15,7.4,104,122,90,494,118,22,14.6,     <0.15,3.8,2.2,143,,,,,,,,,,
9-Sep-15,7.5,134,228,144,760,246,22,11.2,     <0.15,5.5,2.6,232,,,,,,,,,,
10-Sep-15,7.4,173,284,196,860,330,24,12.5,     <0.15,7.9,5.1,208,,,,,,,,,,
11-Sep-15,7.5,70,52,34,584,120,16,10.3,     <0.15,4.3,2.8,202,,,,,,,,,,
12-Sep-15,7.5,108,168,106,578,168,17,8.2,     <0.15,4.7,2.3,351,,,,,,,,,,
13-Sep-15,7.5,44,52,40,532,112,12,7.3,0.33,2.1,1.0,285,,,,,,,,,,
14-Sep-15,7.5,68,104,74,694,186,19,11.2,     <0.15,3.6,1.8,246,,,,,,,,,,
15-Sep-15,7.5,86,98,74,700,148,19,10.9,     <0.15,4.2,2.4,187,,,,,,,,,,
16-Sep-15,7.5,84,80,64,760,176,20,13.1,     <0.15,3.9,2.5,181,,,,,,,,,,
17-Sep-15,7.5,      T/X,76,66,724,164,24,15.2,     <0.15,4.4,2.9,161,,,,,,,,,,
18-Sep-15,7.5,90,152,90,674,190,19,9.9,     <0.15,7.4,4.5,433,,,,,,,,,,
19-Sep-15,7.4,21,55,24,400,86,7,3.6,0.73,2.1,1.2,492,,,,,,,,,,
20-Sep-15,7.7,33,62,44,622,108,9,5.3,0.68,1.4,0.6,351,,,,,,,,,,
21-Sep-15,7.6,39,60,38,658,124,12,7.0,0.52,2.3,1.0,300,,,,,,,,,,
22-Sep-15,7.4,72,88,68,734,180,17,9.8,     <0.15,3.3,1.5,267,,,,,,,,,,
23-Sep-15,7.4,79,82,72,680,138,20,13.6,     <0.15,3.4,1.9,270,,,,,,,,,,
24-Sep-15,7.5,59,66,52,744,162,20,14.0,     <0.15,3.4,1.8,273,,,,,,,,,,
25-Sep-15,7.5,85,71,52,720,176,18,12.0,0.24,4.2,2.6,227,,,,,,,,,,
26-Sep-15,7.5,83,76,58,734,186,18,12.1,     <0.15,3.5,2.0,245,,,,,,,,,,
27-Sep-15,7.5,74,80,64,724,184,19,13.1,     <0.15,3.1,1.6,193,,,,,,,,,,
28-Sep-15,7.4,84,82,70,686,146,23,16.1,     <0.15,3.4,1.8,177,,,,,,,,,,
29-Sep-15,7.4,100,98,80,726,188,25,17.5,     <0.15,4.8,2.9,185,,,,,,,,,,
30-Sep-15,7.4,103,80,70,738,178,22,15.0,0.18,4.7,3.2,166,,,,,,,,,,
1-Oct-15,7.5,93,70,56,718,148,21,16.0,     <0.15,4.5,3.1,167,,,,,,,,,,
2-Oct-15,7.5,93,85,70,734,184,23,16.0,     <0.15,4.6,2.9,163,,,,,,,,,,
3-Oct-15,7.3,128,106,84,772,216,25,18.4,     <0.15,4.7,2.8,115,,,,,,,,,,
4-Oct-15,7.5,90,90,80,738,176,25,17.6,     <0.15,4.0,2.3,169,,,,,,,,,,
5-Oct-15,7.4,130,190,156,818,244,29,17.5,     <0.15,4.9,2.3,111,,,,,,,,,,
6-Oct-15,7.4,106,96,78,794,190,25,15.4,     <0.15,5.3,3.5,163,,,,,,,,,,
7-Oct-15,7.4,117,94,90,822,244,28,17.4,     <0.15,5.2,3.2,132,,,,,,,,,,
8-Oct-15,7.4,135,92,84,796,208,26,17.8,     <0.15,7.0,5.2,141,,,,,,,,,,
9-Oct-15,7.4,112,96,80,810,216,24,16.9,     <0.15,4.3,2.8,167,,,,,,,,,,
10-Oct-15,7.5,119,90,78,758,212,26,18.3,     <0.15,4.4,2.8,150,,,,,,,,,,
11-Oct-15,7.4,113,120,88,726,214,27,17.9,     <0.15,4.6,2.7,133,,,,,,,,,,
12-Oct-15,7.5,      T/X,56,48,670,180,26,17.0,     <0.15,4.0,2.2,150,,,,,,,,,,
13-Oct-15,7.4,124,98,80,840,240,28,17.6,0.16,7.2,5.6,147,,,,,,,,,,
14-Oct-15,7.3,129,100,88,736,160,27,17.1,     <0.15,5.5,3.6,159,,,,,,,,,,
15-Oct-15,7.3,125,106,86,722,184,26,17.4,     <0.15,4.9,3.3,157,,,,,,,,,,
16-Oct-15,7.5,88,122,100,740,222,30,17.9,     <0.15,6.5,4.2,162,,,,,,,,,,
17-Oct-15,7.5,137,108,80,740,216,29,18.4,     <0.15,6.3,4.2,112,,,,,,,,,,
18-Oct-15,7.4,110,110,92,720,206,28,17.9,     <0.15,4.7,2.9,128,,,,,,,,,,
19-Oct-15,7.3,128,110,82,754,202,28,19.7,     <0.15,6.3,4.2,150,,,,,,,,,,
20-Oct-15,7.4,94,64,50,678,146,28,19.5,     <0.15,4.9,3.4,142,,,,,,,,,,
21-Oct-15,7.3,152,96,92,758,226,32,19.7,     <0.15,6.3,3.9,152,,,,,,,,,,
22-Oct-15,7.4,149,100,78,740,224,30,21.1,0.17,6.1,5.7,124,,,,,,,,,,
23-Oct-15,7.4,99,30,27,704,170,28,21.6,     <0.15,6.1,4.2,145,,,,,,,,,,
24-Oct-15,7.6,112,100,88,736,216,28,17.6,     <0.15,4.7,2.8,153,,,,,,,,,,
25-Oct-15,7.5,152,186,142,770,268,30,18.2,     <0.15,5.1,2.6,143,,,,,,,,,,
26-Oct-15,7.4,130,116,90,842,276,28,18.2,     <0.15,5.4,3.4,120,,,,,,,,,,
27-Oct-15,7.4,134,114,86,818,308,29,19.0,     <0.15,5.5,3.2,147,,,,,,,,,,
28-Oct-15,7.2,143,206,148,672,198,21,12.1,     <0.15,4.2,2.0,283,,,,,,,,,,
29-Oct-15,7.4,92,82,70,832,312,22,13.5,     <0.15,3.9,2.2,161,,,,,,,,,,
30-Oct-15,7.4,120,100,76,730,196,24,15.1,     <0.15,5.7,4.1,152,,,,,,,,,,
31-Oct-15,7.4,150,152,110,706,206,22,13.0,     <0.15,4.9,2.9,152,,,,,,,,,,
1-Nov-15,7.4,69,98,56,580,150,15,9.2,0.39,2.5,1.0,222,,,,,,,,,,
2-Nov-15,7.4,78,52,40,646,160,19,12.2,     <0.15,2.9,1.4,165,,,,,,,,,,
3-Nov-15,7.3,93,82,54,716,192,23,14.1,     <0.15,4.5,2.8,166,,,,,,,,,,
4-Nov-15,7.4,      T/X,90,66,760,190,27,18.1,0.17,4.7,3.1,167,,,,,,,,,,
5-Nov-15,7.1,168,100,74,840,258,31,21.1,     <0.15,8.2,5.9,110,,,,,,,,,,
6-Nov-15,7.5,      T/X,64,52,758,202,26,16.3,     <0.15,6.9,4.1,306,,,,,,,,,,
7-Nov-15,7.4,      T/X,76,64,712,204,17,14.7,     <0.15,3.9,2.4,158,,,,,,,,,,
8-Nov-15,7.3,78,78,70,698,194,22,14.9,     <0.15,3.4,1.9,155,,,,,,,,,,
9-Nov-15,7.5,92,76,68,750,226,22,17.7,     <0.15,3.3,2.2,146,,,,,,,,,,
10-Nov-15,7.3,115,90,74,766,194,32,21.1,     <0.15,4.6,2.9,144,,,,,,,,,,
11-Nov-15,7.1,124,78,62,850,254,29,15.6,     <0.15,9.0,7.1,140,,,,,,,,,,
12-Nov-15,7.3,      T/X,184,132,612,198,21,10.6,0.19,5.3,2.7,288,,,,,,,,,,
13-Nov-15,7.4,111,100,78,684,180,24,16.0,     <0.15,5.0,3.1,178,,,,,,,,,,
14-Nov-15,7.5,95,80,66,700,174,25,17.5,     <0.15,3.8,2.3,147,,,,,,,,,,
15-Nov-15,7.6,158,140,112,776,234,29,17.1,     <0.15,4.7,2.5,185,,,,,,,,,,
16-Nov-15,7.4,213,272,200,864,308,35,19.2,0.16,6.3,3.2,133,,,,,,,,,,
17-Nov-15,7.4,194,276,192,894,294,34,15.7,     <0.15,6.8,3.4,168,,,,,,,,,,
18-Nov-15,7.4,103,108,74,596,176,18,9.9,0.27,3.7,1.7,277,,,,,,,,,,
19-Nov-15,7.3,107,92,60,650,152,22,11.6,     <0.15,4.4,2.6,200,,,,,,,,,,
20-Nov-15,7.5,107,104,82,710,188,25,14.1,     <0.15,4.2,2.5,173,,,,,,,,,,
21-Nov-15,7.5,      T/X,104,84,786,174,29,16.2,0.21,4.0,2.0,235,,,,,,,,,,
22-Nov-15,7.4,108,118,94,1037,200,23,12.5,1.04,3.2,1.3,236,,,,,,,,,,
23-Nov-15,7.5,73,80,54,1104,250,20,12.7,0.29,4.0,2.5,212,,,,,,,,,,
24-Nov-15,7.4,96,82,62,936,162,19,11.6,0.54,3.3,1.4,199,,,,,,,,,,
25-Nov-15,7.4,72,62,42,824,150,18,11.9,0.38,4.3,2.7,220,,,,,,,,,,
26-Nov-15,7.3,79,102,70,852,160,15,7.2,0.25,2.8,1.2,329,,,,,,,,,,
27-Nov-15,7.6,46,90,68,630,148,11,6.3,1.12,2.5,1.1,448,,,,,,,,,,
28-Nov-15,7.8,39,38,28,734,132,10,5.6,2.11,1.3,0.5,365,,,,,,,,,,
29-Nov-15,7.7,35,36,28,770,136,12,7.6,1.20,1.6,0.6,302,,,,,,,,,,
30-Nov-15,7.5,53,46,30,798,188,15,8.9,0.38,2.8,1.5,284,,,,,,,,,,
1-Dec-15,7.4,84,89,70,760,170,14,7.4,0.31,3.5,1.9,271,,,,,,,,,,
2-Dec-15,7.3,69,79,65,784,136,13,7.1,0.17,3.7,2.3,288,,,,,,,,,,
3-Dec-15,7.4,66,62,56,810,136,15,8.5,0.48,3.0,1.8,285,,,,,,,,,,
4-Dec-15,7.8,63,71,57,792,164,15,8.8,0.18,2.6,1.2,248,,,,,,,,,,
5-Dec-15,7.8,73,58,48,810,186,15,9.8,0.25,2.2,0.9,235,,,,,,,,,,
6-Dec-15,7.5,78,87,71,806,208,17,9.6,     <0.15,2.8,1.3,206,,,,,,,,,,
7-Dec-15,7.3,101,72,70,822,196,19,12.4,0.19,4.9,3.5,197,,,,,,,,,,
8-Dec-15,7.3,119,102,86,888,220,22,12.7,     <0.15,6.3,4.4,182,,,,,,,,,,
9-Dec-15,7.4,106,106,84,850,204,21,12.3,     <0.15,6.3,5.0,180,,,,,,,,,,
10-Dec-15,7.4,122,90,68,872,196,23,13.4,     <0.15,5.2,3.6,179,,,,,,,,,,
11-Dec-15,7.4,137,120,98,848,214,24,13.3,     <0.15,6.0,4.0,180,,,,,,,,,,
12-Dec-15,7.5,106,76,66,832,184,21,13.2,     <0.15,3.9,2.3,192,,,,,,,,,,
13-Dec-15,7.4,108,116,96,768,184,20,12.1,     <0.15,3.4,1.7,289,,,,,,,,,,
14-Dec-15,7.6,59,128,80,568,154,11,5.9,1.01,2.6,1.3,349,,,,,,,,,,
15-Dec-15,7.5,74,80,58,900,354,14,8.2,1.53,2.5,1.1,328,,,,,,,,,,
16-Dec-15,7.6,54,56,40,762,156,12,7.2,0.87,3.8,2.7,322,,,,,,,,,,
17-Dec-15,7.5,      T/X,58,42,754,158,16,9.5,0.53,2.7,1.3,305,,,,,,,,,,
18-Dec-15,7.7,57,34,28,774,226,17,12.5,0.27,2.8,1.6,303,,,,,,,,,,
19-Dec-15,7.7,56,40,29,732,176,15,10.1,     <0.15,2.3,1.2,296,,,,,,,,,,
20-Dec-15,7.6,56,64,58,752,174,15,10.1,0.16,2.4,1.3,363,,,,,,,,,,
21-Dec-15,7.6,47,68,46,680,158,11,5.4,1.46,1.5,0.6,344,,,,,,,,,,
22-Dec-15,7.6,66,70,48,704,138,12,5.9,0.96,1.8,0.8,344,,,,,,,,,,
23-Dec-15,7.6,53,72,52,696,138,11,6.8,0.48,1.5,0.6,398,,,,,,,,,,
24-Dec-15,7.6,      T/X,54,32,644,130,9,4.6,1.28,1.5,0.7,358,,,,,,,,,,
25-Dec-15,7.8,36,50,42,708,136,11,6.9,0.50,1.2,0.7,327,,,,,,,,,,
26-Dec-15,7.7,      T/X,124,114,756,186,13,8.2,0.42,1.6,0.4,342,,,,,,,,,,
27-Dec-15,7.7,      T/X,66,50,558,94,9,5.2,0.91,1.0,0.4,395,,,,,,,,,,
28-Dec-15,7.8,      T/X,37,29,760,122,8,5.1,1.12,1.0,0.4,407,,,,,,,,,,
29-Dec-15,7.7,      T/X,68,30,776,84,5,2.6,1.86,1.4,0.5,468,,,,,,,,,,
30-Dec-15,7.8,27,40,29,786,110,7,4.3,2.14,1.3,0.6,437,,,,,,,,,,
31-Dec-15,7.6,80,57,47,910,162,9,5.2,1.45,2.9,1.4,400,,,,,,,,,,
1-Jan-14,7.4,111,67,57,1370,146,18,11.1,1.14,6.0,4.8,173,,,,,,,,,,
2-Jan-14,7.3,112,98,78,2997,222,30,18.2,0.16,4.9,3.3,150,,,,,,,,,,
3-Jan-14,7.3,119,104,86,2035,198,32,21.7,     <0.15,6.4,5.0,174,,,,,,,,,,
4-Jan-14,7.3,119,90,76,1234,192,27,17.1,0.83,7.1,5.2,186,,,,,,,,,,
5-Jan-14,7.5,62,66,50,1208,162,17,10.0,4.04,4.3,3.1,178,,,,,,,,,,
6-Jan-14,7.4,107,72,60,1380,156,26,18.7,0.21,4.4,3.3,173,,,,,,,,,,
7-Jan-14,7.5,105,82,74,946,168,25,17.1,0.16,4.1,3.0,169,,,,,,,,,,
8-Jan-14,7.2,190,152,108,1218,272,28,17.0,0.37,11.0,8.6,173,,,,,,,,,,
9-Jan-14,7.0,150,122,108,1065,256,20,12.1,3.14,8.4,5.9,174,,,,,,,,,,
10-Jan-14,7.2,150,129,109,1163,232,24,13.7,0.35,8.1,5.7,271,,,,,,,,,,
11-Jan-14,7.1,      T/X,142,98,1611,202,12,5.6,2.36,6.7,4.9,441,,,,,,,,,,
12-Jan-14,7.4,38,48,34,1331,154,7,4.6,2.86,1.5,0.8,296,,,,,,,,,,
13-Jan-14,7.5,29,27,21,1201,160,8,4.4,2.64,1.2,0.6,427,,,,,,,,,,
14-Jan-14,7.3,79,78,70,1168,180,13,7.4,1.46,2.8,1.4,358,,,,,,,,,,
15-Jan-14,7.2,71,64,56,1130,198,12,7.0,0.91,2.5,1.4,317,,,,,,,,,,
16-Jan-14,7.2,69,70,53,1036,204,15,8.7,0.46,4.1,2.8,320,,,,,,,,,,
17-Jan-14,7.4,101,68,52,1013,174,18,9.7,0.58,6.9,4.9,314,,,,,,,,,,
18-Jan-14,7.4,69,82,60,1060,166,14,8.8,0.78,5.0,3.3,306,,,,,,,,,,
19-Jan-14,7.4,57,80,68,1153,172,14,8.9,0.93,2.7,1.4,251,,,,,,,,,,
20-Jan-14,7.3,75,63,54,1145,168,16,10.7,0.49,3.8,2.4,186,,,,,,,,,,
21-Jan-14,7.3,135,86,74,1276,226,21,13.2,     <0.15,10.3,8.4,180,,,,,,,,,,
22-Jan-14,7.2,112,54,44,1288,222,18,12.2,0.97,9.6,8.2,198,,,,,,,,,,
23-Jan-14,7.3,      T/X,59,50,1043,192,16,10.8,1.41,8.2,6.5,200,,,,,,,,,,
24-Jan-14,7.4,88,58,46,952,186,15,10.7,1.77,4.7,3.5,198,,,,,,,,,,
25-Jan-14,7.4,99,79,59,1237,182,16,10.8,1.40,3.2,1.9,183,,,,,,,,,,
26-Jan-14,7.3,      T/X,64,52,1242,180,16,11.6,0.59,2.8,1.6,178,,,,,,,,,,
27-Jan-14,7.3,      T/X,67,56,1299,222,18,12.5,1.05,7.0,4.6,184,,,,,,,,,,
28-Jan-14,7.2,63,66,58,990,192,23,15.1,0.48,6.7,5.2,187,,,,,,,,,,
